
1 1.1e-06
3 1.1e-06
5 1.1e-06
7 1.5e-06
9 1.8e-06
11 1.2e-06
13 1.4e-06
15 1.4e-06
17 1.9e-06
19 2e-06
21 1.7e-06
23 1.8e-06
25 2e-06
27 2e-06
29 2.2e-06
31 2.3e-06
33 2.4e-06
35 2.6e-06
37 2.7e-06
39 2.9e-06
41 3e-06
43 3.3e-06
45 3.4e-06
47 3.6e-06
49 3.8e-06
51 3.8e-06
